scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
2.4866997e-08,-9.579039e-09,-2.331724e-08,-4.5092953e-08,-6.934565e-08,-9.145578e-08,-1.2635049e-07,-2.093537e-07,-3.0818615e-07,-4.1801113e-07,French horn
-1.1004855e-07,1.8124328e-07,5.755367e-07,9.3225106e-07,1.3542121e-06,2.2162062e-06,3.1434477e-06,2.9130647e-06,2.0582195e-06,-1.12254085e-07,French horn
1.9677259e-07,-1.1891242e-07,-3.4162986e-07,-6.041771e-07,-8.9713893e-07,-1.2315049e-06,-1.5875154e-06,-1.9463657e-06,-2.2994855e-06,-2.563804e-06,French horn
-5.209419e-10,1.6985975e-10,7.694984e-10,1.4118113e-09,2.0968516e-09,2.8988274e-09,3.75427e-09,4.912543e-09,5.509342e-09,6.476685e-09,French horn
-4.7628322e-07,2.2770865e-07,6.289759e-07,1.1595272e-06,1.8081291e-06,2.3740724e-06,2.8568013e-06,3.7595782e-06,4.215113e-06,4.8711727e-06,French horn
8.7955397e-07,-4.746036e-07,-1.3513414e-06,-2.448959e-06,-3.7219334e-06,-4.9901946e-06,-6.305342e-06,-8.0720665e-06,-9.760558e-06,-1.1699098e-05,French horn
3.14616e-07,-1.8950689e-07,-5.4446645e-07,-9.641645e-07,-1.4143726e-06,-1.8881125e-06,-2.3855e-06,-2.9628916e-06,-3.4937596e-06,-4.0065215e-06,French horn
-1.3809569e-07,7.795154e-08,2.1913388e-07,3.897517e-07,5.8041775e-07,7.588778e-07,9.226879e-07,1.1557325e-06,1.3240051e-06,1.5568538e-06,French horn
-7.850158e-09,3.8528847e-09,1.21145876e-08,2.4113639e-08,3.64557e-08,4.9787705e-08,7.128411e-08,1.102166e-07,1.5443624e-07,1.694939e-07,French horn
-5.1475735e-07,3.116878e-07,9.2216817e-07,1.7327438e-06,2.5695065e-06,3.4891304e-06,4.2579386e-06,3.7005773e-06,2.524715e-06,2.245352e-06,French horn
-2.1076994e-07,9.9224835e-08,2.734636e-07,5.0656485e-07,7.7313626e-07,9.800408e-07,1.1212799e-06,1.47616e-06,1.5771667e-06,2.0388798e-06,French horn
-5.338338e-07,3.1130372e-07,8.945854e-07,1.595113e-06,2.3744303e-06,3.2029593e-06,4.225318e-06,5.5487913e-06,7.1646004e-06,8.583242e-06,French horn
4.4927629e-07,-2.0405514e-07,-5.5397777e-07,-1.0275646e-06,-1.5877669e-06,-2.030179e-06,-2.3667799e-06,-3.1613517e-06,-3.4358711e-06,-4.3764962e-06,French horn
-1.0801673e-07,3.8136324e-08,9.377545e-08,1.8761979e-07,3.4643512e-07,4.946853e-07,6.3443883e-07,9.305371e-07,1.1755175e-06,1.6235692e-06,French horn
8.505197e-08,-4.1453365e-08,-1.1492596e-07,-2.1218e-07,-3.2058023e-07,-4.2087993e-07,-5.5091004e-07,-7.7747984e-07,-1.0438605e-06,-1.3328811e-06,French horn
5.538267e-07,-2.4401714e-07,-6.595278e-07,-1.2289291e-06,-1.9078284e-06,-2.4507808e-06,-2.8977936e-06,-3.914895e-06,-4.3478003e-06,-5.5499795e-06,French horn
-8.929381e-08,3.5279957e-08,1.0789295e-07,2.1109804e-07,3.2068874e-07,3.9535163e-07,4.4099872e-07,5.9377186e-07,7.206087e-07,1.0319934e-06,French horn
-8.6643387e-10,3.6145933e-10,1.2164877e-09,2.3992814e-09,3.638484e-09,4.7363207e-09,5.5221556e-09,6.8451342e-09,7.580058e-09,9.189975e-09,French horn
-1.7762163e-11,5.337882e-10,6.74293e-09,1.6242762e-08,1.9282263e-08,3.9322092e-08,7.449059e-08,1.0346799e-07,1.2345176e-07,1.0596276e-07,French horn
1.0858135e-08,-7.0262964e-09,-1.4044402e-08,-1.7229363e-08,-4.0372367e-08,-6.8602006e-08,-1.1851256e-07,-1.8835135e-07,-2.766184e-07,-3.2610703e-07,French horn
-6.625111e-07,3.3321683e-07,9.2089215e-07,1.6757608e-06,2.5268841e-06,3.1675854e-06,3.8259345e-06,5.1923193e-06,6.8196305e-06,8.632967e-06,French horn
1.2683603e-06,-6.35401e-07,-1.7881316e-06,-3.3258764e-06,-4.7825943e-06,-5.58458e-06,-6.6598886e-06,-9.522559e-06,-1.3958875e-05,-2.0078487e-05,French horn
1.7336701e-12,6.978704e-14,1.5173953e-12,2.879591e-12,1.1640143e-11,-3.4511814e-11,-6.283872e-12,-3.4617843e-11,1.5238439e-11,-8.603369e-12,French horn
7.075391e-07,-3.8836484e-07,-1.1051901e-06,-1.9892448e-06,-3.0090996e-06,-4.033377e-06,-5.0869608e-06,-6.4908922e-06,-7.84686e-06,-9.404786e-06,French horn
-1.7848103e-09,9.016807e-10,2.3692899e-09,4.246854e-09,6.549495e-09,8.421506e-09,1.016224e-08,1.3561661e-08,1.498999e-08,1.856981e-08,French horn
-6.0230794e-09,9.758932e-09,4.285779e-08,6.498698e-08,8.482943e-08,1.2941545e-07,9.536686e-08,-7.746792e-08,-1.523136e-07,-6.496082e-08,French horn
3.9475486e-07,-1.4871557e-07,-3.930659e-07,-7.5980904e-07,-1.2023962e-06,-1.4904903e-06,-1.6901881e-06,-2.394354e-06,-2.6172995e-06,-3.5855805e-06,French horn
-2.4839564e-10,4.4897345e-08,1.4688622e-07,2.2587679e-07,2.7082064e-07,4.024055e-07,6.1581187e-07,6.585947e-07,9.972101e-07,9.954606e-07,French horn
