scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
7.6566744e-14,4.992415e-12,3.1842747e-11,2.9778423e-11,2.5710907e-11,-4.650682e-12,-7.1470295e-11,-1.870387e-10,-2.3640523e-10,-2.94904e-10,Clarinet
4.8763305e-13,1.7487234e-11,8.924608e-12,-3.7552246e-11,-9.544224e-11,-1.5739372e-10,-1.6586002e-10,-8.1245434e-11,5.6817197e-11,1.8797093e-10,Clarinet
1.00884944e-13,2.7975792e-12,6.7776805e-11,1.1640709e-11,-1.4715505e-10,-2.3738034e-10,-2.5108657e-10,-2.2710615e-10,-1.944285e-10,-1.3870566e-10,Clarinet
-4.0872457e-13,-1.2864856e-11,3.4121587e-11,3.6803453e-11,-4.0606286e-11,-5.7642453e-11,1.311927e-10,3.3107117e-10,6.1230976e-10,9.2004865e-10,Clarinet
8.5890214e-13,3.294492e-11,-3.191725e-11,-6.040804e-11,-4.9133753e-11,-1.485344e-11,1.388307e-11,4.011751e-11,6.4855704e-11,1.03323364e-10,Clarinet
-3.3942616e-13,-8.691306e-12,-4.7774604e-11,4.7227423e-11,1.2035083e-10,1.3118207e-10,1.752045e-10,2.5562555e-10,4.6136936e-10,5.1728033e-10,Clarinet
-1.1396729e-11,2.3636447e-11,1.2908735e-11,3.5493625e-11,6.077447e-11,6.940936e-11,7.2967306e-11,5.134479e-11,3.8811523e-11,3.7078684e-11,Clarinet
-2.515509e-13,-1.2119637e-11,-1.4829558e-12,1.5552193e-11,-2.3382336e-11,-6.7511205e-11,-1.270556e-10,-1.9197316e-10,-3.982093e-10,-3.245874e-10,Clarinet
-1.3778526e-11,1.0039943e-11,6.498736e-11,3.006147e-11,5.8247578e-12,-3.6168252e-11,-1.3458072e-10,-1.7244224e-10,-1.8649066e-10,-1.11133866e-10,Clarinet
1.2600429e-11,-2.0433598e-11,1.9161266e-11,1.6832655e-11,-5.01825e-11,-2.3075618e-10,-4.243468e-10,-3.5913386e-10,9.0208334e-11,3.231253e-10,Clarinet
1.1732825e-11,-1.7768793e-11,-2.1472808e-11,-3.74265e-11,-7.34131e-11,-1.1155333e-10,-8.672655e-11,4.9334386e-12,-4.726047e-11,-2.2779403e-10,Clarinet
-2.3678263e-13,-6.112571e-12,1.1789965e-11,1.9604741e-11,9.843575e-12,1.7645916e-11,9.415636e-11,1.5569437e-10,2.4803698e-10,1.8938229e-10,Clarinet
-2.5527925e-13,-2.5630962e-12,-7.654997e-12,5.0399324e-12,2.91789e-11,1.2366885e-10,3.5168865e-10,6.58116e-10,1.292608e-09,1.8541554e-09,Clarinet
1.3800123e-11,-7.781788e-12,-8.398116e-12,-9.126656e-12,-7.866406e-11,-1.926137e-10,-2.356327e-10,-2.3001219e-10,-2.5519822e-10,-2.3018307e-10,Clarinet
6.4137237e-13,2.4702499e-11,-1.1673231e-11,-4.191227e-11,-1.6235726e-11,1.8708323e-11,1.2579611e-11,-2.4968532e-11,-1.7427439e-10,-3.1936048e-10,Clarinet
